,Country,Gender Development Index (GDI),Human Development Index (Female),Human Development Index (Male),Life Expectancy at Birth (Female),Life Expectancy at Birth (Male),Expected Years of Education (Female),Expected Years of Education (Male),Mean Years of Education (Female),Mean Years of Education (Male),Estimated Gross National Income per Capita (Female),Estimated Gross National Income per Capita (Male),Continent,Gender development
94,Libya,0.95,0.6990000000000001,0.736,74.6,68.9,14.3,13.8,7.7,7.0,7427.0,22392.0,Africa,average
95,Tunisia,0.894,0.6709999999999999,0.7509999999999999,77.3,72.5,15.0,14.0,5.9,7.8,4748.0,16159.0,Africa,average
96,Colombia,0.997,0.7190000000000001,0.721,77.7,70.5,13.9,13.2,7.4,7.3,9785.0,14372.0,South America,high
98,Jamaica,0.995,0.715,0.7190000000000001,78.1,73.3,13.1,11.6,10.0,9.4,5820.0,9059.0,North America,high
99,Tonga,0.9670000000000001,0.7040000000000001,0.727,75.8,69.9,15.0,14.4,10.7,10.8,3796.0,6336.0,Australia and Oceania,average
100,Belize,0.958,0.696,0.727,72.9,67.4,13.9,13.2,10.5,10.5,5034.0,10198.0,North America,average
101,Dominican Republic,0.995,0.71,0.713,76.7,70.4,13.6,12.6,7.7,7.2,8860.0,14903.0,North America,high
102,Suriname,0.975,0.7020000000000001,0.72,74.4,68.0,13.6,11.8,7.3,8.0,10241.0,20970.0,South America,high
103,Maldives,0.937,0.6779999999999999,0.723,77.8,75.8,12.8,12.5,5.7,6.0,8531.0,16073.0,Asia,average
104,Samoa,0.956,0.6809999999999999,0.713,76.8,70.4,13.2,12.5,10.3,10.3,3416.0,7124.0,Australia and Oceania,average
105,Botswana,0.982,0.691,0.7040000000000001,66.8,62.1,12.6,12.4,8.7,9.1,15179.0,18096.0,Africa,high
106,Moldova (Republic of),1.003,0.6940000000000001,0.6920000000000001,75.7,67.4,12.2,11.6,11.1,11.3,4599.0,5915.0,Europe,high
107,Egypt,0.868,0.633,0.7290000000000001,73.4,69.0,13.3,13.8,5.4,7.7,4928.0,16049.0,Africa,average
110,Indonesia,0.927,0.655,0.706,71.0,66.9,13.1,12.9,7.0,8.2,6485.0,13052.0,Asia,average
111,Paraguay,0.956,0.662,0.6920000000000001,75.1,70.8,12.2,11.7,7.5,7.9,5576.0,9678.0,South America,average
112,"Palestine, State of",0.86,0.607,0.706,74.9,71.0,13.8,12.2,8.4,9.3,1580.0,7726.0,South America,average
113,Uzbekistan,0.945,0.64,0.6779999999999999,71.8,65.0,11.3,11.7,9.5,9.9,3811.0,7342.0,Asia,average
114,Philippines,0.977,0.649,0.664,71.8,64.9,11.5,11.1,8.4,7.9,5382.0,10439.0,Asia,high
115,El Salvador,0.965,0.652,0.6759999999999999,77.4,68.3,12.1,12.4,6.2,6.9,5497.0,9406.0,North America,average
116,South Africa,0.948,0.6459999999999999,0.6809999999999999,59.3,55.2,13.7,13.4,9.7,10.2,8713.0,15737.0,Africa,average
118,Bolivia (Plurinational State of),0.9309999999999999,0.637,0.684,70.9,65.9,12.9,13.4,7.5,8.9,4383.0,7140.0,South America,average
119,Kyrgyzstan,0.961,0.638,0.664,74.6,66.6,12.7,12.3,10.5,10.6,2122.0,3992.0,Asia,average
120,Iraq,0.787,0.561,0.7120000000000001,71.7,67.2,8.7,11.4,5.1,7.7,4279.0,23515.0,Asia,low
123,Guyana,0.9840000000000001,0.626,0.636,68.8,64.2,11.2,9.4,8.9,8.0,4164.0,8804.0,South America,high
124,Nicaragua,0.96,0.615,0.64,77.9,71.9,11.8,11.3,6.2,5.8,2967.0,5979.0,North America,average
125,Morocco,0.828,0.555,0.67,75.1,73.0,10.6,11.6,3.2,5.3,3222.0,10573.0,Africa,low
126,Namibia,0.981,0.62,0.632,67.3,62.1,11.4,11.3,6.3,6.1,7672.0,11267.0,Africa,high
127,Guatemala,0.9490000000000001,0.608,0.6409999999999999,75.3,68.3,10.2,11.0,5.5,5.7,5021.0,8934.0,North America,average
128,Tajikistan,0.9259999999999999,0.6,0.648,73.2,66.2,10.5,12.0,9.6,11.2,2014.0,3017.0,Asia,average
129,India,0.795,0.525,0.66,69.5,66.6,11.3,11.8,3.6,7.2,2116.0,8656.0,Asia,low
130,Honduras,0.9440000000000001,0.583,0.618,75.7,70.7,11.6,10.6,5.5,5.4,2365.0,5508.0,North America,average
131,Bhutan,0.897,0.5720000000000001,0.638,69.7,69.2,12.8,12.6,2.0,4.1,5733.0,8418.0,Asia,average
132,Timor-Leste,0.868,0.5479999999999999,0.631,70.1,66.5,11.3,12.0,3.6,5.3,3122.0,7530.0,Asia,average
133,Syrian Arab Republic,0.8340000000000001,0.52,0.623,76.5,64.0,12.2,12.3,5.4,7.4,864.0,4523.0,Asia,low
134,Vanuatu,0.903,0.5870000000000001,0.65,74.0,69.9,10.2,10.9,8.0,10.0,2141.0,3445.0,Australia and Oceania,average
135,Congo,0.922,0.561,0.609,63.9,60.8,10.9,11.3,4.9,6.5,5165.0,6859.0,Africa,average
138,Zambia,0.917,0.5579999999999999,0.609,62.0,58.2,13.0,13.9,5.8,7.3,3019.0,4452.0,Africa,average
139,Ghana,0.885,0.54,0.61,62.3,60.4,11.0,12.0,5.6,7.9,3200.0,4515.0,Africa,average
140,Lao People's Democratic Republic,0.8959999999999999,0.5429999999999999,0.606,67.5,64.8,10.1,11.0,3.9,6.1,4086.0,5279.0,Asia,average
141,Bangladesh,0.917,0.541,0.59,72.9,70.4,10.3,9.7,4.5,5.5,2278.0,4083.0,Asia,average
142,Cambodia,0.89,0.519,0.584,70.3,66.2,10.3,11.5,3.2,5.4,2526.0,3393.0,Asia,average
143,Sao Tome and Principe,0.8909999999999999,0.52,0.584,68.4,64.4,11.4,11.2,4.0,5.5,1886.0,3976.0,Africa,average
144,Kenya,0.9129999999999999,0.527,0.5770000000000001,63.4,59.9,10.7,11.3,5.9,7.3,2255.0,3270.0,Africa,average
145,Nepal,0.9079999999999999,0.521,0.574,71.1,68.2,12.5,12.2,2.3,4.5,1956.0,2690.0,Asia,average
146,Pakistan,0.726,0.436,0.601,67.2,65.3,7.0,8.5,3.1,6.2,1450.0,8100.0,Asia,low
149,Swaziland,0.879,0.494,0.561,48.2,49.6,10.9,11.8,7.4,6.8,3894.0,7235.0,Africa,average
150,Tanzania (United Republic of),0.938,0.504,0.5379999999999999,66.4,63.5,9.0,9.3,4.5,5.8,2320.0,2502.0,Africa,average
151,Nigeria,0.841,0.46799999999999997,0.556,53.1,52.4,8.2,9.8,4.9,7.1,4052.0,6585.0,Africa,low
152,Cameroon,0.879,0.478,0.544,56.7,54.4,9.5,11.2,5.3,6.7,2266.0,3341.0,Africa,average
153,Madagascar,0.945,0.49700000000000005,0.526,66.6,63.6,10.2,10.5,6.6,6.1,1098.0,1560.0,Africa,average
154,Zimbabwe,0.922,0.48700000000000004,0.529,58.9,56.2,10.7,11.0,6.7,7.7,1387.0,1850.0,Africa,average
155,Mauritania,0.816,0.446,0.546,64.5,61.6,8.5,8.5,2.7,4.8,1625.0,5468.0,Africa,low
158,Comoros,0.813,0.44299999999999995,0.545,65.0,61.6,11.0,11.9,3.7,5.6,778.0,2123.0,Africa,low
159,Yemen,0.7390000000000001,0.414,0.56,65.2,62.5,7.7,10.6,1.3,3.8,1595.0,5412.0,Asia,low
160,Lesotho,0.953,0.48200000000000004,0.505,49.8,49.6,11.7,10.6,6.5,5.2,2613.0,4017.0,Africa,average
161,Togo,0.831,0.439,0.527,60.4,58.9,10.9,13.4,3.0,6.3,1084.0,1376.0,Africa,low
163,Rwanda,0.9570000000000001,0.47200000000000003,0.493,67.0,61.1,10.4,10.2,3.2,4.3,1312.0,1612.0,Africa,average
164,Uganda,0.8859999999999999,0.452,0.51,60.3,56.7,9.7,9.9,4.5,6.3,1226.0,1997.0,Africa,average
165,Benin,0.823,0.431,0.524,61.0,58.1,9.4,12.7,2.1,4.6,1493.0,2043.0,Africa,low
166,Sudan,0.83,0.428,0.516,65.0,62.0,6.7,7.3,2.5,3.8,1882.0,5722.0,Africa,low
169,Senegal,0.883,0.436,0.494,68.3,64.5,7.8,8.1,1.8,3.2,1657.0,2739.0,Africa,average
170,Afghanistan,0.6,0.32799999999999996,0.546,61.6,59.2,7.2,11.3,1.2,5.1,506.0,3227.0,Asia,low
171,Côte d'Ivoire,0.81,0.41,0.507,52.4,50.7,7.9,10.0,3.2,5.3,2146.0,4157.0,Africa,low
172,Malawi,0.907,0.423,0.467,63.7,61.7,10.8,10.7,3.4,5.2,679.0,815.0,Africa,average
173,Ethiopia,0.84,0.40299999999999997,0.479,66.0,62.2,8.0,9.0,1.4,3.6,1090.0,1765.0,Africa,low
